TRC 2024-02-10 03:17:35.127+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=2 queue=0
TRC 2024-02-10 03:17:35.127+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=47 queue=0
TRC 2024-02-10 03:17:35.127+00:00 Decoded new frame                          topics="websock ws-session" tid=1 file=session.nim:336 len=28 fin=true mask=true opcode=Binary
TRC 2024-02-10 03:17:35.127+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:404 consumed=0 len=28 first=true remainder=28 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.127+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:408 len=28 consumed=0 first=true remainder=28 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:418 read=1 consumed=1 len=28 first=true remainder=27 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:404 consumed=1 len=28 first=true remainder=27 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:408 len=28 consumed=1 first=true remainder=27 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:418 read=19 consumed=20 len=28 first=true remainder=8 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 handle: got request                        topics="libp2p multistream" tid=1 file=multistream.nim:146 conn=:65c6eacf7df3c2ee8809a97b ms=/multistream/1.0.0
TRC 2024-02-10 03:17:35.128+00:00 Sending data to remote                     topics="websock ws-session" tid=1 file=session.nim:115 opcode=Binary masked=false dataSize=20
TRC 2024-02-10 03:17:35.128+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:404 consumed=20 len=28 first=true remainder=8 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:408 len=28 consumed=20 first=true remainder=8 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:418 read=1 consumed=21 len=28 first=true remainder=7 fin=true opcode=Binary masked=true
TRC 2024-02-10 03:17:35.128+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:404 consumed=21 len=28 first=true remainder=7 fin=true opcode=Binary masked=true
